name,url,city_name,city_state,industry,ranking
Lockheed Martin,http://fortune.com/fortune500/lockheed-martin-64/,Bethesda, MD,Aerospace and Defense,64
FedEx,http://fortune.com/fortune500/fedex-65/,Memphis, TN,"Mail, Package, and Freight Delivery",65
Johnson Controls,http://fortune.com/fortune500/johnson-controls-66/,Milwaukee, WI,Motor Vehicles and Parts,66
Plains GP Holdings,http://fortune.com/fortune500/plains-gp-holdings-67/,Houston, TX,Pipelines,67
World Fuel Services,http://fortune.com/fortune500/world-fuel-services-68/,Miami, FL,Wholesalers: Diversified,68
CHS,http://fortune.com/fortune500/chs-69/,Inver Grove Heights, MN,Food Production,69
American Airlines Group,http://fortune.com/fortune500/american-airlines-group-70/,Fort Worth, TX,Airlines,70
Merck,http://fortune.com/fortune500/merck-71/,Kenilworth, NJ,Pharmaceuticals,71
Best Buy,http://fortune.com/fortune500/best-buy-72/,Richfield, MN,Specialty Retailers: Other,72
Delta Air Lines,http://fortune.com/fortune500/delta-air-lines-73/,Atlanta, GA,Airlines,73
Honeywell International,http://fortune.com/fortune500/honeywell-international-74/,Morris Township, NJ,"Electronics, Electrical Equip.",74
HCA Holdings,http://fortune.com/fortune500/hca-holdings-75/,Nashville, TN,Health Care: Medical Facilities,75
Goldman Sachs Group,http://fortune.com/fortune500/goldman-sachs-group-76/,New York, NY,Commercial Banks,76
Tesoro,http://fortune.com/fortune500/tesoro-77/,San Antonio, TX,Petroleum Refining,77
Liberty Mutual Insurance Group,http://fortune.com/fortune500/liberty-mutual-insurance-group-78/,Boston, MA,Insurance: Property and Casualty (Stock),78
United Continental Holdings,http://fortune.com/fortune500/united-continental-holdings-79/,Chicago, IL,Airlines,79
New York Life Insurance,http://fortune.com/fortune500/new-york-life-insurance-80/,New York, NY,"Insurance: Life, Health (Mutual)",80
Oracle,http://fortune.com/fortune500/oracle-81/,Redwood City, CA,Computer Software,81
Morgan Stanley,http://fortune.com/fortune500/morgan-stanley-82/,New York, NY,Commercial Banks,82
Tyson Foods,http://fortune.com/fortune500/tyson-foods-83/,Springdale, AR,Food Production,83
Safeway,http://fortune.com/fortune500/safeway-84/,Pleasanton, CA,Food and Drug Stores,84
Nationwide,http://fortune.com/fortune500/nationwide-85/,Columbus, OH,Insurance: Property and Casualty (Mutual),85
Deere,http://fortune.com/fortune500/deere-86/,Moline, IL,Construction and Farm Machinery,86
DuPont,http://fortune.com/fortune500/dupont-87/,Wilmington, DE,Chemicals,87
American Express,http://fortune.com/fortune500/american-express-88/,New York, NY,Commercial Banks,88
Allstate,http://fortune.com/fortune500/allstate-89/,Northbrook, IL,Insurance: Property and Casualty (Stock),89
Cigna,http://fortune.com/fortune500/cigna-90/,Bloomfield, CT,Health Care: Insurance and Managed Care,90
Mondelez International,http://fortune.com/fortune500/mondelez-international-91/,Deerfield, IL,Food Consumer Products,91
TIAA-CREF,http://fortune.com/fortune500/tiaa-cref-92/,New York, NY,"Insurance: Life, Health (Mutual)",92
INTL FCStone,http://fortune.com/fortune500/intl-fcstone-93/,New York, NY,Diversified Financials,93
Massachusetts Mutual Life Insurance,http://fortune.com/fortune500/massachusetts-mutual-life-insurance-94/,Springfield, MA,"Insurance: Life, Health (Mutual)",94
DirecTV,http://fortune.com/fortune500/directv-95/,El Segundo, CA,Telecommunications,95
Halliburton,http://fortune.com/fortune500/halliburton-96/,Houston, TX,"Oil and Gas Equipment, Services",96
Twenty-First Century Fox,http://fortune.com/fortune500/twenty-first-century-fox-97/,New York, NY,Entertainment,97
3M,http://fortune.com/fortune500/3m-98/,St. Paul, MN,zMiscellaneous,98
Sears Holdings,http://fortune.com/fortune500/sears-holdings-99/,Hoffman Estates, IL,General Merchandisers,99
General Dynamics,http://fortune.com/fortune500/general-dynamics-100/,Falls Church, VA,Aerospace and Defense,100
Publix Super Markets,http://fortune.com/fortune500/publix-super-markets-101/,Lakeland, FL,Food and Drug Stores,101
Philip Morris International,http://fortune.com/fortune500/philip-morris-international-102/,New York, NY,Tobacco,102
TJX,http://fortune.com/fortune500/tjx-103/,Framingham, MA,Specialty Retailers: Apparel,103
Time Warner,http://fortune.com/fortune500/time-warner-104/,New York, NY,Entertainment,104
Macy's,http://fortune.com/fortune500/macys-105/,Cincinnati, OH,General Merchandisers,105
Nike,http://fortune.com/fortune500/nike-106/,Beaverton, OR,Apparel,106
Tech Data,http://fortune.com/fortune500/tech-data-107/,Clearwater, FL,Wholesalers: Electronics and Office Equipment,107
Avnet,http://fortune.com/fortune500/avnet-108/,Phoenix, AZ,Wholesalers: Electronics and Office Equipment,108
Northwestern Mutual,http://fortune.com/fortune500/northwestern-mutual-109/,Milwaukee, WI,"Insurance: Life, Health (Mutual)",109
McDonald's,http://fortune.com/fortune500/mcdonalds-110/,Oak Brook, IL,Food Services,110
Exelon,http://fortune.com/fortune500/exelon-111/,Chicago, IL,Utilities: Gas and Electric,111
Travelers Cos.,http://fortune.com/fortune500/travelers-cos-112/,New York, NY,Insurance: Property and Casualty (Stock),112
Qualcomm,http://fortune.com/fortune500/qualcomm-113/,San Diego, CA,Network and Other Communications Equipment,113
International Paper,http://fortune.com/fortune500/international-paper-114/,Memphis, TN,"Packaging, Containers",114
Occidental Petroleum,http://fortune.com/fortune500/occidental-petroleum-115/,Houston, TX,"Mining, Crude-Oil Production",115
Duke Energy,http://fortune.com/fortune500/duke-energy-116/,Charlotte, NC,Utilities: Gas and Electric,116
Rite Aid,http://fortune.com/fortune500/rite-aid-117/,Camp Hill, PA,Food and Drug Stores,117
Gilead Sciences,http://fortune.com/fortune500/gilead-sciences-118/,Foster City, CA,Pharmaceuticals,118
Baker Hughes,http://fortune.com/fortune500/baker-hughes-119/,Houston, TX,"Oil and Gas Equipment, Services",119
Emerson Electric,http://fortune.com/fortune500/emerson-electric-120/,St. Louis, MO,"Electronics, Electrical Equip.",120
EMC,http://fortune.com/fortune500/emc-121/,Hopkinton, MA,Computer Peripherals,121
USAA,http://fortune.com/fortune500/usaa-122/,San Antonio, TX,Insurance: Property and Casualty (Stock),122
Union Pacific,http://fortune.com/fortune500/union-pacific-123/,Omaha, NE,Railroads,123
Northrop Grumman,http://fortune.com/fortune500/northrop-grumman-124/,Falls Church, VA,Aerospace and Defense,124
Alcoa,http://fortune.com/fortune500/alcoa-125/,New York, NY,Metals,125
Capital One Financial,http://fortune.com/fortune500/capital-one-financial-126/,McLean, VA,Commercial Banks,126
National Oilwell Varco,http://fortune.com/fortune500/national-oilwell-varco-127/,Houston, TX,"Oil and Gas Equipment, Services",127
US Foods,http://fortune.com/fortune500/us-foods-128/,Rosemont, IL,Wholesalers: Food and Grocery,128
Raytheon,http://fortune.com/fortune500/raytheon-129/,Waltham, MA,Aerospace and Defense,129
Time Warner Cable,http://fortune.com/fortune500/time-warner-cable-130/,New York, NY,Telecommunications,130
Arrow Electronics,http://fortune.com/fortune500/arrow-electronics-131/,Centennial, CO,Wholesalers: Electronics and Office Equipment,131
Aflac,http://fortune.com/fortune500/aflac-132/,Columbus, GA,"Insurance: Life, Health (stock)",132
Staples,http://fortune.com/fortune500/staples-133/,Framingham, MA,Specialty Retailers: Other,133
Abbott Laboratories,http://fortune.com/fortune500/abbott-laboratories-134/,Abbott Park, IL,Medical Products and Equipment,134
Community Health Systems,http://fortune.com/fortune500/community-health-systems-135/,Franklin, TN,Health Care: Medical Facilities,135
Fluor,http://fortune.com/fortune500/fluor-136/,Irving, TX,"Engineering, Construction",136
Freeport-McMoRan,http://fortune.com/fortune500/freeport-mcmoran-137/,Phoenix, AZ,"Mining, Crude-Oil Production",137
U.S. Bancorp,http://fortune.com/fortune500/u-s-bancorp-138/,Minneapolis, MN,Commercial Banks,138
Nucor,http://fortune.com/fortune500/nucor-139/,Charlotte, NC,Metals,139
Kimberly-Clark,http://fortune.com/fortune500/kimberly-clark-140/,Irving, TX,Household and Personal Products,140
Hess,http://fortune.com/fortune500/hess-141/,New York, NY,Petroleum Refining,141
Chesapeake Energy,http://fortune.com/fortune500/chesapeake-energy-142/,Oklahoma City, OK,"Mining, Crude-Oil Production",142
Xerox,http://fortune.com/fortune500/xerox-143/,Norwalk, CT,Information Technology Services,143
ManpowerGroup,http://fortune.com/fortune500/manpowergroup-144/,Milwaukee, WI,Temporary Help,144
Amgen,http://fortune.com/fortune500/amgen-145/,Thousand Oaks, CA,Pharmaceuticals,145
AbbVie,http://fortune.com/fortune500/abbvie-146/,North Chicago, IL,Pharmaceuticals,146
Danaher,http://fortune.com/fortune500/danaher-147/,Washington, DC,"Scientific,Photographic and Control Equipment",147
Whirlpool,http://fortune.com/fortune500/whirlpool-148/,Benton Harbor, MI,"Electronics, Electrical Equip.",148
PBF Energy,http://fortune.com/fortune500/pbf-energy-149/,Parsippany, NJ,Petroleum Refining,149
HollyFrontier,http://fortune.com/fortune500/hollyfrontier-150/,Dallas, TX,Petroleum Refining,150
Eli Lilly,http://fortune.com/fortune500/eli-lilly-151/,Indianapolis, IN,Pharmaceuticals,151
Devon Energy,http://fortune.com/fortune500/devon-energy-152/,Oklahoma City, OK,"Mining, Crude-Oil Production",152
Progressive,http://fortune.com/fortune500/progressive-153/,Mayfield Village, OH,Insurance: Property and Casualty (Stock),153
Cummins,http://fortune.com/fortune500/cummins-154/,Columbus, IN,Construction and Farm Machinery,154
Icahn Enterprises,http://fortune.com/fortune500/icahn-enterprises-155/,New York, NY,Petroleum Refining,155
AutoNation,http://fortune.com/fortune500/autonation-156/,Fort Lauderdale, FL,"Automotive Retailing, Services",156
Kohl's,http://fortune.com/fortune500/kohls-157/,Menomonee Falls, WI,General Merchandisers,157
Paccar,http://fortune.com/fortune500/paccar-158/,Bellevue, WA,Motor Vehicles and Parts,158
Dollar General,http://fortune.com/fortune500/dollar-general-159/,Goodlettsville, TN,General Merchandisers,159
Hartford Financial Services Group,http://fortune.com/fortune500/hartford-financial-services-group-160/,Hartford, CT,Insurance: Property and Casualty (Stock),160
Southwest Airlines,http://fortune.com/fortune500/southwest-airlines-161/,Dallas, TX,Airlines,161
Anadarko Petroleum,http://fortune.com/fortune500/anadarko-petroleum-162/,The Woodlands, TX,"Mining, Crude-Oil Production",162
Southern,http://fortune.com/fortune500/southern-163/,Atlanta, GA,Utilities: Gas and Electric,163
Supervalu,http://fortune.com/fortune500/supervalu-164/,Eden Prairie, MN,Food and Drug Stores,164
Kraft Foods Group,http://fortune.com/fortune500/kraft-foods-group-165/,Northfield, IL,Food Consumer Products,165
Goodyear Tire & Rubber,http://fortune.com/fortune500/goodyear-tire-rubber-166/,Akron, OH,Motor Vehicles and Parts,166
EOG Resources,http://fortune.com/fortune500/eog-resources-167/,Houston, TX,"Mining, Crude-Oil Production",167
CenturyLink,http://fortune.com/fortune500/centurylink-168/,Monroe, LA,Telecommunications,168
Altria Group,http://fortune.com/fortune500/altria-group-169/,Richmond, VA,Tobacco,169
Tenet Healthcare,http://fortune.com/fortune500/tenet-healthcare-170/,Dallas, TX,Health Care: Medical Facilities,170
General Mills,http://fortune.com/fortune500/general-mills-171/,Minneapolis, MN,Food Consumer Products,171
eBay,http://fortune.com/fortune500/ebay-172/,San Jose, CA,Internet Services and Retailing,172
ConAgra Foods,http://fortune.com/fortune500/conagra-foods-173/,Omaha, NE,Food Consumer Products,173
Lear,http://fortune.com/fortune500/lear-174/,Southfield, MI,Motor Vehicles and Parts,174
TRW Automotive Holdings,http://fortune.com/fortune500/trw-automotive-holdings-175/,Livonia, MI,Motor Vehicles and Parts,175
United States Steel,http://fortune.com/fortune500/united-states-steel-176/,Pittsburgh, PA,Metals,176
Penske Automotive Group,http://fortune.com/fortune500/penske-automotive-group-177/,Bloomfield Hills, MI,"Automotive Retailing, Services",177
AES,http://fortune.com/fortune500/aes-178/,Arlington, VA,Utilities: Gas and Electric,178
Colgate-Palmolive,http://fortune.com/fortune500/colgate-palmolive-179/,New York, NY,Household and Personal Products,179
Global Partners,http://fortune.com/fortune500/global-partners-180/,Waltham, MA,Wholesalers: Diversified,180
Thermo Fisher Scientific,http://fortune.com/fortune500/thermo-fisher-scientific-181/,Waltham, MA,"Scientific,Photographic and Control Equipment",181
PG&E Corp.,http://fortune.com/fortune500/pge-corp-182/,San Francisco, CA,Utilities: Gas and Electric,182
NextEra Energy,http://fortune.com/fortune500/nextera-energy-183/,Juno Beach, FL,Utilities: Gas and Electric,183
American Electric Power,http://fortune.com/fortune500/american-electric-power-184/,Columbus, OH,Utilities: Gas and Electric,184
Baxter International,http://fortune.com/fortune500/baxter-international-185/,Deerfield, IL,Medical Products and Equipment,185
Centene,http://fortune.com/fortune500/centene-186/,St. Louis, MO,Health Care: Insurance and Managed Care,186
Starbucks,http://fortune.com/fortune500/starbucks-187/,Seattle, WA,Food Services,187
Gap,http://fortune.com/fortune500/gap-188/,San Francisco, CA,Specialty Retailers: Apparel,188
Bank of New York Mellon Corp.,http://fortune.com/fortune500/bank-of-new-york-mellon-corp-189/,New York, NY,Commercial Banks,189
Micron Technology,http://fortune.com/fortune500/micron-technology-190/,Boise, ID,Semiconductors and Other Electronic Components,190
Jabil Circuit,http://fortune.com/fortune500/jabil-circuit-191/,St. Petersburg, FL,Semiconductors and Other Electronic Components,191
PNC Financial Services Group,http://fortune.com/fortune500/pnc-financial-services-group-192/,Pittsburgh, PA,Commercial Banks,192
Kinder Morgan,http://fortune.com/fortune500/kinder-morgan-193/,Houston, TX,Pipelines,193
Office Depot,http://fortune.com/fortune500/office-depot-194/,Boca Raton, FL,Specialty Retailers: Other,194
Bristol-Myers Squibb,http://fortune.com/fortune500/bristol-myers-squibb-195/,New York, NY,Pharmaceuticals,195
NRG Energy,http://fortune.com/fortune500/nrg-energy-196/,Princeton, NJ,Energy,196
Monsanto,http://fortune.com/fortune500/monsanto-197/,St. Louis, MO,Chemicals,197
PPG Industries,http://fortune.com/fortune500/ppg-industries-198/,Pittsburgh, PA,Chemicals,198
Genuine Parts,http://fortune.com/fortune500/genuine-parts-199/,Atlanta, GA,Wholesalers: Diversified,199
Omnicom Group,http://fortune.com/fortune500/omnicom-group-200/,New York, NY,"Advertising, marketing",200
Illinois Tool Works,http://fortune.com/fortune500/illinois-tool-works-201/,Glenview, IL,Industrial Machinery,201
Murphy USA,http://fortune.com/fortune500/murphy-usa-202/,El Dorado, AR,Specialty Retailers: Other,202
Land O'Lakes,http://fortune.com/fortune500/land-olakes-203/,Arden Hills, MN,Food Consumer Products,203
Western Refining,http://fortune.com/fortune500/western-refining-204/,El Paso, TX,Petroleum Refining,204
Western Digital,http://fortune.com/fortune500/western-digital-205/,Irvine, CA,Computer Peripherals,205
FirstEnergy,http://fortune.com/fortune500/firstenergy-206/,Akron, OH,Utilities: Gas and Electric,206
Aramark,http://fortune.com/fortune500/aramark-207/,Philadelphia, PA,Diversified Outsourcing Services,207
DISH Network,http://fortune.com/fortune500/dish-network-208/,Englewood, CO,Telecommunications,208
Las Vegas Sands,http://fortune.com/fortune500/las-vegas-sands-209/,Las Vegas, NV,"Hotels, Casinos, Resorts",209
Kellogg,http://fortune.com/fortune500/kellogg-210/,Battle Creek, MI,Food Consumer Products,210
Loews,http://fortune.com/fortune500/loews-211/,New York, NY,Insurance: Property and Casualty (Stock),211
CBS,http://fortune.com/fortune500/cbs-212/,New York, NY,Entertainment,212
Ecolab,http://fortune.com/fortune500/ecolab-213/,St. Paul, MN,Chemicals,213
Whole Foods Market,http://fortune.com/fortune500/whole-foods-market-214/,Austin, TX,Food and Drug Stores,214
Chubb,http://fortune.com/fortune500/chubb-215/,Warren, NJ,Insurance: Property and Casualty (Stock),215
Health Net,http://fortune.com/fortune500/health-net-216/,Woodland Hills, CA,Health Care: Insurance and Managed Care,216
Waste Management,http://fortune.com/fortune500/waste-management-217/,Houston, TX,Waste Management,217
Apache,http://fortune.com/fortune500/apache-218/,Houston, TX,"Mining, Crude-Oil Production",218
Textron,http://fortune.com/fortune500/textron-219/,Providence, RI,Aerospace and Defense,219
Synnex,http://fortune.com/fortune500/synnex-220/,Fremont, CA,Wholesalers: Electronics and Office Equipment,220
Marriott International,http://fortune.com/fortune500/marriott-international-221/,Bethesda, MD,"Hotels, Casinos, Resorts",221
Viacom,http://fortune.com/fortune500/viacom-222/,New York, NY,Entertainment,222
Lincoln National,http://fortune.com/fortune500/lincoln-national-223/,Radnor, PA,"Insurance: Life, Health (stock)",223
Nordstrom,http://fortune.com/fortune500/nordstrom-224/,Seattle, WA,General Merchandisers,224
C.H. Robinson Worldwide,http://fortune.com/fortune500/c-h-robinson-worldwide-225/,Eden Prairie, MN,Transportation and Logistics,225
Edison International,http://fortune.com/fortune500/edison-international-226/,Rosemead, CA,Utilities: Gas and Electric,226
Marathon Oil,http://fortune.com/fortune500/marathon-oil-227/,Houston, TX,"Mining, Crude-Oil Production",227
