name,url,city_name,city_state,industry,ranking
Reinsurance Group of America,http://fortune.com/fortune500/reinsurance-group-of-america-273/,Chesterfield, MO,"Insurance: Life, Health (stock)",273
Public Service Enterprise Group,http://fortune.com/fortune500/public-service-enterprise-group-274/,Newark, NJ,Utilities: Gas and Electric,274
Cameron International,http://fortune.com/fortune500/cameron-international-275/,Houston, TX,"Oil and Gas Equipment, Services",275
Navistar International,http://fortune.com/fortune500/navistar-international-276/,Lisle, IL,Motor Vehicles and Parts,276
CST Brands,http://fortune.com/fortune500/cst-brands-277/,San Antonio, TX,Specialty Retailers: Other,277
State Street Corp.,http://fortune.com/fortune500/state-street-corp-278/,Boston, MA,Commercial Banks,278
Unum Group,http://fortune.com/fortune500/unum-group-279/,Chattanooga, TN,"Insurance: Life, Health (stock)",279
Hilton Worldwide Holdings,http://fortune.com/fortune500/hilton-worldwide-holdings-280/,McLean, VA,"Hotels, Casinos, Resorts",280
Family Dollar Stores,http://fortune.com/fortune500/family-dollar-stores-281/,Matthews, NC,General Merchandisers,281
Principal Financial,http://fortune.com/fortune500/principal-financial-282/,Des Moines, IA,"Insurance: Life, Health (stock)",282
Reliance Steel & Aluminum,http://fortune.com/fortune500/reliance-steel-aluminum-283/,Los Angeles, CA,Metals,283
Air Products & Chemicals,http://fortune.com/fortune500/air-products-chemicals-284/,Allentown, PA,Chemicals,284
Assurant,http://fortune.com/fortune500/assurant-285/,New York, NY,Insurance: Property and Casualty (Stock),285
Peter Kiewit Sons',http://fortune.com/fortune500/peter-kiewit-sons-286/,Omaha, NE,"Engineering, Construction",286
Henry Schein,http://fortune.com/fortune500/henry-schein-287/,Melville, NY,Wholesalers: Health Care,287
Cognizant Technology Solutions,http://fortune.com/fortune500/cognizant-technology-solutions-288/,Teaneck, NJ,Information Technology Services,288
MGM Resorts International,http://fortune.com/fortune500/mgm-resorts-international-289/,Las Vegas, NV,"Hotels, Casinos, Resorts",289
W.W. Grainger,http://fortune.com/fortune500/w-w-grainger-290/,Lake Forest, IL,Wholesalers: Diversified,290
Group 1 Automotive,http://fortune.com/fortune500/group-1-automotive-291/,Houston, TX,"Automotive Retailing, Services",291
BB&T Corp.,http://fortune.com/fortune500/bbt-corp-292/,Winston-Salem, NC,Commercial Banks,292
Rock-Tenn,http://fortune.com/fortune500/rock-tenn-293/,Norcross, GA,"Packaging, Containers",293
Advance Auto Parts,http://fortune.com/fortune500/advance-auto-parts-294/,Roanoke, VA,Specialty Retailers: Other,294
Ally Financial,http://fortune.com/fortune500/ally-financial-295/,Detroit, MI,Commercial Banks,295
AGCO,http://fortune.com/fortune500/agco-296/,Duluth, GA,Construction and Farm Machinery,296
Corning,http://fortune.com/fortune500/corning-297/,Corning, NY,Network and Other Communications Equipment,297
Biogen,http://fortune.com/fortune500/biogen-298/,Cambridge, MA,Pharmaceuticals,298
NGL Energy Partners,http://fortune.com/fortune500/ngl-energy-partners-299/,Tulsa, OK,Wholesalers: Diversified,299
Stryker,http://fortune.com/fortune500/stryker-300/,Kalamazoo, MI,Medical Products and Equipment,300
Molina Healthcare,http://fortune.com/fortune500/molina-healthcare-301/,Long Beach, CA,Health Care: Insurance and Managed Care,301
Precision Castparts,http://fortune.com/fortune500/precision-castparts-302/,Portland, OR,Aerospace and Defense,302
Discover Financial Services,http://fortune.com/fortune500/discover-financial-services-303/,Riverwoods, IL,Commercial Banks,303
Genworth Financial,http://fortune.com/fortune500/genworth-financial-304/,Richmond, VA,"Insurance: Life, Health (stock)",304
Eastman Chemical,http://fortune.com/fortune500/eastman-chemical-305/,Kingsport, TN,Chemicals,305
Dean Foods,http://fortune.com/fortune500/dean-foods-306/,Dallas, TX,Food Consumer Products,306
AutoZone,http://fortune.com/fortune500/autozone-307/,Memphis, TN,Specialty Retailers: Other,307
MasterCard,http://fortune.com/fortune500/mastercard-308/,Purchase, NY,Financial Data Services,308
Owens & Minor,http://fortune.com/fortune500/owens-minor-309/,Mechanicsville, VA,Wholesalers: Health Care,309
Hormel Foods,http://fortune.com/fortune500/hormel-foods-310/,Austin, MN,Food Consumer Products,310
GameStop,http://fortune.com/fortune500/gamestop-311/,Grapevine, TX,Specialty Retailers: Other,311
Autoliv,http://fortune.com/fortune500/autoliv-312/,Auburn Hills, MI,Motor Vehicles and Parts,312
CenterPoint Energy,http://fortune.com/fortune500/centerpoint-energy-313/,Houston, TX,Utilities: Gas and Electric,313
Fidelity National Financial,http://fortune.com/fortune500/fidelity-national-financial-314/,Jacksonville, FL,Insurance: Property and Casualty (Stock),314
Sonic Automotive,http://fortune.com/fortune500/sonic-automotive-315/,Charlotte, NC,"Automotive Retailing, Services",315
HD Supply Holdings,http://fortune.com/fortune500/hd-supply-holdings-316/,Atlanta, GA,Wholesalers: Diversified,316
Charter Communications,http://fortune.com/fortune500/charter-communications-317/,Stamford, CT,Telecommunications,317
Crown Holdings,http://fortune.com/fortune500/crown-holdings-318/,Philadelphia, PA,"Packaging, Containers",318
Applied Materials,http://fortune.com/fortune500/applied-materials-319/,Santa Clara, CA,Semiconductors and Other Electronic Components,319
Mosaic,http://fortune.com/fortune500/mosaic-320/,Plymouth, MN,Chemicals,320
CBRE Group,http://fortune.com/fortune500/cbre-group-321/,Los Angeles, CA,Real estate,321
Avon Products,http://fortune.com/fortune500/avon-products-322/,New York, NY,Household and Personal Products,322
Republic Services,http://fortune.com/fortune500/republic-services-323/,Phoenix, AZ,Waste Management,323
Universal Health Services,http://fortune.com/fortune500/universal-health-services-324/,King of Prussia, PA,Health Care: Medical Facilities,324
Darden Restaurants,http://fortune.com/fortune500/darden-restaurants-325/,Orlando, FL,Food Services,325
Steel Dynamics,http://fortune.com/fortune500/steel-dynamics-326/,Fort Wayne, IN,Metals,326
SunTrust Banks,http://fortune.com/fortune500/suntrust-banks-327/,Atlanta, GA,Commercial Banks,327
Caesars Entertainment,http://fortune.com/fortune500/caesars-entertainment-328/,Las Vegas, NV,"Hotels, Casinos, Resorts",328
Targa Resources,http://fortune.com/fortune500/targa-resources-329/,Houston, TX,Pipelines,329
Dollar Tree,http://fortune.com/fortune500/dollar-tree-330/,Chesapeake, VA,Specialty Retailers: Other,330
News Corp.,http://fortune.com/fortune500/news-corp-331/,New York, NY,"Publishing, Printing",331
Ball,http://fortune.com/fortune500/ball-332/,Broomfield, CO,"Packaging, Containers",332
Thrivent Financial for Lutherans,http://fortune.com/fortune500/thrivent-financial-for-lutherans-333/,Minneapolis, MN,"Insurance: Life, Health (Mutual)",333
Masco,http://fortune.com/fortune500/masco-334/,Taylor, MI,"Home Equipment, Furnishings",334
Franklin Resources,http://fortune.com/fortune500/franklin-resources-335/,San Mateo, CA,Securities,335
Avis Budget Group,http://fortune.com/fortune500/avis-budget-group-336/,Parsippany, NJ,"Automotive Retailing, Services",336
Reynolds American,http://fortune.com/fortune500/reynolds-american-337/,Winston-Salem, NC,Tobacco,337
Becton Dickinson,http://fortune.com/fortune500/becton-dickinson-338/,Franklin Lakes, NJ,Medical Products and Equipment,338
Priceline Group,http://fortune.com/fortune500/priceline-group-339/,Norwalk, CT,Internet Services and Retailing,339
Broadcom,http://fortune.com/fortune500/broadcom-340/,Irvine, CA,Semiconductors and Other Electronic Components,340
Tenneco,http://fortune.com/fortune500/tenneco-341/,Lake Forest, IL,Motor Vehicles and Parts,341
Campbell Soup,http://fortune.com/fortune500/campbell-soup-342/,Camden, NJ,Food Consumer Products,342
AECOM,http://fortune.com/fortune500/aecom-343/,Los Angeles, CA,"Engineering, Construction",343
Visteon,http://fortune.com/fortune500/visteon-344/,Van Buren Township, MI,Motor Vehicles and Parts,344
Delek US Holdings,http://fortune.com/fortune500/delek-us-holdings-345/,Brentwood, TN,Petroleum Refining,345
Dover,http://fortune.com/fortune500/dover-346/,Downers Grove, IL,Industrial Machinery,346
BorgWarner,http://fortune.com/fortune500/borgwarner-347/,Auburn Hills, MI,Motor Vehicles and Parts,347
Jarden,http://fortune.com/fortune500/jarden-348/,Boca Raton, FL,"Home Equipment, Furnishings",348
UGI,http://fortune.com/fortune500/ugi-349/,King of Prussia, PA,Energy,349
Murphy Oil,http://fortune.com/fortune500/murphy-oil-350/,El Dorado, AR,"Mining, Crude-Oil Production",350
PVH,http://fortune.com/fortune500/pvh-351/,New York, NY,Apparel,351
Core-Mark Holding,http://fortune.com/fortune500/core-mark-holding-352/,South San Francisco, CA,Wholesalers: Food and Grocery,352
Calpine,http://fortune.com/fortune500/calpine-353/,Houston, TX,Energy,353
D.R. Horton,http://fortune.com/fortune500/d-r-horton-354/,Fort Worth, TX,Homebuilders,354
Weyerhaeuser,http://fortune.com/fortune500/weyerhaeuser-355/,Federal Way, WA,Forest and Paper Products,355
KKR,http://fortune.com/fortune500/kkr-356/,New York, NY,Securities,356
FMC Technologies,http://fortune.com/fortune500/fmc-technologies-357/,Houston, TX,"Oil and Gas Equipment, Services",357
American Family Insurance Group,http://fortune.com/fortune500/american-family-insurance-group-358/,Madison, WI,Insurance: Property and Casualty (Stock),358
SpartanNash,http://fortune.com/fortune500/spartannash-359/,Grand Rapids, MI,Wholesalers: Food and Grocery,359
WESCO International,http://fortune.com/fortune500/wesco-international-360/,Pittsburgh, PA,Wholesalers: Diversified,360
Quanta Services,http://fortune.com/fortune500/quanta-services-361/,Houston, TX,"Engineering, Construction",361
Mohawk Industries,http://fortune.com/fortune500/mohawk-industries-362/,Calhoun, GA,zMiscellaneous,362
Motorola Solutions,http://fortune.com/fortune500/motorola-solutions-363/,Schaumburg, IL,Network and Other Communications Equipment,363
Lennar,http://fortune.com/fortune500/lennar-364/,Miami, FL,Homebuilders,364
TravelCenters of America,http://fortune.com/fortune500/travelcenters-of-america-365/,Westlake, OH,Specialty Retailers: Other,365
Sealed Air,http://fortune.com/fortune500/sealed-air-366/,Charlotte, NC,"Packaging, Containers",366
Eversource Energy,http://fortune.com/fortune500/eversource-energy-367/,Springfield, MA,Utilities: Gas and Electric,367
Coca-Cola Enterprises,http://fortune.com/fortune500/coca-cola-enterprises-368/,Atlanta, GA,Beverages,368
Celgene,http://fortune.com/fortune500/celgene-369/,Summit, NJ,Pharmaceuticals,369
Williams,http://fortune.com/fortune500/williams-370/,Tulsa, OK,Energy,370
Ashland,http://fortune.com/fortune500/ashland-371/,Covington, KY,Chemicals,371
Interpublic Group,http://fortune.com/fortune500/interpublic-group-372/,New York, NY,"Advertising, marketing",372
Blackstone Group,http://fortune.com/fortune500/blackstone-group-373/,New York, NY,Diversified Financials,373
Ralph Lauren,http://fortune.com/fortune500/ralph-lauren-374/,New York, NY,Apparel,374
Quest Diagnostics,http://fortune.com/fortune500/quest-diagnostics-375/,Madison, NJ,Health Care: Pharmacy and Other Services,375
Hershey,http://fortune.com/fortune500/hershey-376/,Hershey, PA,Food Consumer Products,376
Terex,http://fortune.com/fortune500/terex-377/,Westport, CT,Construction and Farm Machinery,377
Boston Scientific,http://fortune.com/fortune500/boston-scientific-378/,Marlborough, MA,Medical Products and Equipment,378
Newmont Mining,http://fortune.com/fortune500/newmont-mining-379/,Greenwood Village, CO,"Mining, Crude-Oil Production",379
Allergan,http://fortune.com/fortune500/allergan-380/,Irvine, CA,Pharmaceuticals,380
O'Reilly Automotive,http://fortune.com/fortune500/oreilly-automotive-381/,Springfield, MO,Specialty Retailers: Other,381
Casey's General Stores,http://fortune.com/fortune500/caseys-general-stores-382/,Ankeny, IA,Specialty Retailers: Other,382
CMS Energy,http://fortune.com/fortune500/cms-energy-383/,Jackson, MI,Utilities: Gas and Electric,383
Foot Locker,http://fortune.com/fortune500/foot-locker-384/,New York, NY,Specialty Retailers: Apparel,384
W.R. Berkley,http://fortune.com/fortune500/w-r-berkley-385/,Greenwich, CT,Insurance: Property and Casualty (Stock),385
PetSmart,http://fortune.com/fortune500/petsmart-386/,Phoenix, AZ,Specialty Retailers: Other,386
Pacific Life,http://fortune.com/fortune500/pacific-life-387/,Newport Beach, CA,"Insurance: Life, Health (stock)",387
Commercial Metals,http://fortune.com/fortune500/commercial-metals-388/,Irving, TX,Metals,388
Agilent Technologies,http://fortune.com/fortune500/agilent-technologies-389/,Santa Clara, CA,"Scientific,Photographic and Control Equipment",389
Huntington Ingalls Industries,http://fortune.com/fortune500/huntington-ingalls-industries-390/,Newport News, VA,Aerospace and Defense,390
Mutual of Omaha Insurance,http://fortune.com/fortune500/mutual-of-omaha-insurance-391/,Omaha, NE,"Insurance: Life, Health (stock)",391
Live Nation Entertainment,http://fortune.com/fortune500/live-nation-entertainment-392/,Beverly Hills, CA,Entertainment,392
Dick's Sporting Goods,http://fortune.com/fortune500/dicks-sporting-goods-393/,Coraopolis, PA,Specialty Retailers: Other,393
Oshkosh,http://fortune.com/fortune500/oshkosh-394/,Oshkosh, WI,Motor Vehicles and Parts,394
Celanese,http://fortune.com/fortune500/celanese-395/,Irving, TX,Chemicals,395
Spirit AeroSystems Holdings,http://fortune.com/fortune500/spirit-aerosystems-holdings-396/,Wichita, KS,Aerospace and Defense,396
United Natural Foods,http://fortune.com/fortune500/united-natural-foods-397/,Providence, RI,Wholesalers: Food and Grocery,397
Peabody Energy,http://fortune.com/fortune500/peabody-energy-398/,St. Louis, MO,"Mining, Crude-Oil Production",398
Owens-Illinois,http://fortune.com/fortune500/owens-illinois-399/,Perrysburg, OH,"Packaging, Containers",399
Dillard's,http://fortune.com/fortune500/dillards-400/,Little Rock, AR,General Merchandisers,400
Level 3 Communications,http://fortune.com/fortune500/level-3-communications-401/,Broomfield, CO,Telecommunications,401
Pantry,http://fortune.com/fortune500/pantry-402/,Cary, NC,Specialty Retailers: Other,402
LKQ,http://fortune.com/fortune500/lkq-403/,Chicago, IL,Wholesalers: Diversified,403
Integrys Energy Group,http://fortune.com/fortune500/integrys-energy-group-404/,Chicago, IL,Utilities: Gas and Electric,404
Symantec,http://fortune.com/fortune500/symantec-405/,Mountain View, CA,Computer Software,405
Buckeye Partners,http://fortune.com/fortune500/buckeye-partners-406/,Houston, TX,Pipelines,406
Ryder System,http://fortune.com/fortune500/ryder-system-407/,Miami, FL,"Trucking, Truck Leasing",407
SanDisk,http://fortune.com/fortune500/sandisk-408/,Milpitas, CA,Semiconductors and Other Electronic Components,408
Rockwell Automation,http://fortune.com/fortune500/rockwell-automation-409/,Milwaukee, WI,"Electronics, Electrical Equip.",409
Dana Holding,http://fortune.com/fortune500/dana-holding-410/,Maumee, OH,Motor Vehicles and Parts,410
Lansing Trade Group,http://fortune.com/fortune500/lansing-trade-group-411/,Overland Park, KS,Wholesalers: Diversified,411
NCR,http://fortune.com/fortune500/ncr-412/,Duluth, GA,"Computers, Office Equipment",412
Expeditors International of Washington,http://fortune.com/fortune500/expeditors-international-of-washington-413/,Seattle, WA,Transportation and Logistics,413
Omnicare,http://fortune.com/fortune500/omnicare-414/,Cincinnati, OH,Health Care: Pharmacy and Other Services,414
AK Steel Holding,http://fortune.com/fortune500/ak-steel-holding-415/,West Chester, OH,Metals,415
Fifth Third Bancorp,http://fortune.com/fortune500/fifth-third-bancorp-416/,Cincinnati, OH,Commercial Banks,416
Seaboard,http://fortune.com/fortune500/seaboard-417/,Shawnee Mission, KS,Food Production,417
NiSource,http://fortune.com/fortune500/nisource-418/,Merrillville, IN,Utilities: Gas and Electric,418
Cablevision Systems,http://fortune.com/fortune500/cablevision-systems-419/,Bethpage, NY,Telecommunications,419
Anixter International,http://fortune.com/fortune500/anixter-international-420/,Glenview, IL,Wholesalers: Diversified,420
EMCOR Group,http://fortune.com/fortune500/emcor-group-421/,Norwalk, CT,"Engineering, Construction",421
Fidelity National Information Services,http://fortune.com/fortune500/fidelity-national-information-services-422/,Jacksonville, FL,Financial Data Services,422
Barnes & Noble,http://fortune.com/fortune500/barnes-noble-423/,New York, NY,Specialty Retailers: Other,423
KBR,http://fortune.com/fortune500/kbr-424/,Houston, TX,"Engineering, Construction",424
Auto-Owners Insurance,http://fortune.com/fortune500/auto-owners-insurance-425/,Lansing, MI,Insurance: Property and Casualty (Mutual),425
Jones Financial,http://fortune.com/fortune500/jones-financial-426/,Des Peres, MO,Securities,426
Avery Dennison,http://fortune.com/fortune500/avery-dennison-427/,Glendale, CA,Chemicals,427
NetApp,http://fortune.com/fortune500/netapp-428/,Sunnyvale, CA,Computer Peripherals,428
iHeartMedia,http://fortune.com/fortune500/iheartmedia-429/,San Antonio, TX,Entertainment,429
Discovery Communications,http://fortune.com/fortune500/discovery-communications-430/,Silver Spring, MD,Entertainment,430
Harley-Davidson,http://fortune.com/fortune500/harley-davidson-431/,Milwaukee, WI,Transportation Equipment,431
Sanmina,http://fortune.com/fortune500/sanmina-432/,San Jose, CA,Semiconductors and Other Electronic Components,432
Trinity Industries,http://fortune.com/fortune500/trinity-industries-433/,Dallas, TX,Transportation Equipment,433
J.B. Hunt Transport Services,http://fortune.com/fortune500/j-b-hunt-transport-services-434/,Lowell, AR,"Trucking, Truck Leasing",434
Charles Schwab,http://fortune.com/fortune500/charles-schwab-435/,San Francisco, CA,Securities,435
Erie Insurance Group,http://fortune.com/fortune500/erie-insurance-group-436/,Erie, PA,Insurance: Property and Casualty (Stock),436
Dr Pepper Snapple Group,http://fortune.com/fortune500/dr-pepper-snapple-group-437/,Plano, TX,Beverages,437
Ameren,http://fortune.com/fortune500/ameren-438/,St. Louis, MO,Utilities: Gas and Electric,438
Mattel,http://fortune.com/fortune500/mattel-439/,El Segundo, CA,"Toys, Sporting Goods",439
Laboratory Corp. of America,http://fortune.com/fortune500/laboratory-corp-of-america-440/,Burlington, NC,Health Care: Pharmacy and Other Services,440
Gannett,http://fortune.com/fortune500/gannett-441/,McLean, VA,"Publishing, Printing",441
Starwood Hotels & Resorts,http://fortune.com/fortune500/starwood-hotels-resorts-442/,Stamford, CT,"Hotels, Casinos, Resorts",442
General Cable,http://fortune.com/fortune500/general-cable-443/,Highland Heights, KY,"Electronics, Electrical Equip.",443
A-Mark Precious Metals,http://fortune.com/fortune500/a-mark-precious-metals-444/,Santa Monica, CA,zMiscellaneous,444
Graybar Electric,http://fortune.com/fortune500/graybar-electric-445/,St. Louis, MO,Wholesalers: Diversified,445
Energy Future Holdings,http://fortune.com/fortune500/energy-future-holdings-446/,Dallas, TX,Energy,446
HRG Group,http://fortune.com/fortune500/hrg-group-447/,New York, NY,Household and Personal Products,447
MRC Global,http://fortune.com/fortune500/mrc-global-448/,Houston, TX,"Oil and Gas Equipment, Services",448
Spectra Energy,http://fortune.com/fortune500/spectra-energy-449/,Houston, TX,Pipelines,449
Asbury Automotive Group,http://fortune.com/fortune500/asbury-automotive-group-450/,Duluth, GA,"Automotive Retailing, Services",450
Packaging Corp. of America,http://fortune.com/fortune500/packaging-corp-of-america-451/,Lake Forest, IL,"Packaging, Containers",451
Windstream Holdings,http://fortune.com/fortune500/windstream-holdings-452/,Little Rock, AR,Telecommunications,452
PulteGroup,http://fortune.com/fortune500/pultegroup-453/,Atlanta, GA,Homebuilders,453
JetBlue Airways,http://fortune.com/fortune500/jetblue-airways-454/,Long Island City, NY,Airlines,454
Newell Rubbermaid,http://fortune.com/fortune500/newell-rubbermaid-455/,Atlanta, GA,"Home Equipment, Furnishings",455
Con-way,http://fortune.com/fortune500/con-way-456/,Ann Arbor, MI,Transportation and Logistics,456
Calumet Specialty Products Partners,http://fortune.com/fortune500/calumet-specialty-products-partners-457/,Indianapolis, IN,Petroleum Refining,457
Expedia,http://fortune.com/fortune500/expedia-458/,Bellevue, WA,Internet Services and Retailing,458
American Financial Group,http://fortune.com/fortune500/american-financial-group-459/,Cincinnati, OH,Insurance: Property and Casualty (Stock),459
Tractor Supply,http://fortune.com/fortune500/tractor-supply-460/,Brentwood, TN,Specialty Retailers: Other,460
United Rentals,http://fortune.com/fortune500/united-rentals-461/,Stamford, CT,zMiscellaneous,461
Ingredion,http://fortune.com/fortune500/ingredion-462/,Westchester, IL,Food Production,462
Navient,http://fortune.com/fortune500/navient-463/,Wilmington, DE,Diversified Financials,463
MeadWestvaco,http://fortune.com/fortune500/meadwestvaco-464/,Richmond, VA,"Packaging, Containers",464
AGL Resources,http://fortune.com/fortune500/agl-resources-465/,Atlanta, GA,Utilities: Gas and Electric,465
St. Jude Medical,http://fortune.com/fortune500/st-jude-medical-466/,St. Paul, MN,Medical Products and Equipment,466
J.M. Smucker,http://fortune.com/fortune500/j-m-smucker-467/,Orrville, OH,Food Consumer Products,467
Western Union,http://fortune.com/fortune500/western-union-468/,Englewood, CO,Financial Data Services,468
Clorox,http://fortune.com/fortune500/clorox-469/,Oakland, CA,Household and Personal Products,469
Domtar,http://fortune.com/fortune500/domtar-470/,Fort Mill, SC,Forest and Paper Products,470
Kelly Services,http://fortune.com/fortune500/kelly-services-471/,Troy, MI,Temporary Help,471
Old Republic International,http://fortune.com/fortune500/old-republic-international-472/,Chicago, IL,Insurance: Property and Casualty (Stock),472
Advanced Micro Devices,http://fortune.com/fortune500/advanced-micro-devices-473/,Sunnyvale, CA,Semiconductors and Other Electronic Components,473
Netflix,http://fortune.com/fortune500/netflix-474/,Los Gatos, CA,Specialty Retailers: Other,474
Booz Allen Hamilton Holding,http://fortune.com/fortune500/booz-allen-hamilton-holding-475/,McLean, VA,Information Technology Services,475
Quintiles Transnational Holdings,http://fortune.com/fortune500/quintiles-transnational-holdings-476/,Durham, NC,Health Care: Pharmacy and Other Services,476
Wynn Resorts,http://fortune.com/fortune500/wynn-resorts-477/,Las Vegas, NV,"Hotels, Casinos, Resorts",477
Jones Lang LaSalle,http://fortune.com/fortune500/jones-lang-lasalle-478/,Chicago, IL,Real estate,478
Regions Financial,http://fortune.com/fortune500/regions-financial-479/,Birmingham, AL,Commercial Banks,479
CH2M Hill,http://fortune.com/fortune500/ch2m-hill-480/,Englewood, CO,"Engineering, Construction",480
Western & Southern Financial Group,http://fortune.com/fortune500/western-southern-financial-group-481/,Cincinnati, OH,"Insurance: Life, Health (Mutual)",481
Lithia Motors,http://fortune.com/fortune500/lithia-motors-482/,Medford, OR,"Automotive Retailing, Services",482
salesforce.com,http://fortune.com/fortune500/salesforce-com-483/,San Francisco, CA,Computer Software,483
Alaska Air Group,http://fortune.com/fortune500/alaska-air-group-484/,Seattle, WA,Airlines,484
Host Hotels & Resorts,http://fortune.com/fortune500/host-hotels-resorts-485/,Bethesda, MD,Real estate,485
Harman International Industries,http://fortune.com/fortune500/harman-international-industries-486/,Stamford, CT,"Electronics, Electrical Equip.",486
Amphenol,http://fortune.com/fortune500/amphenol-487/,Wallingford, CT,Network and Other Communications Equipment,487
Realogy Holdings,http://fortune.com/fortune500/realogy-holdings-488/,Madison, NJ,Real estate,488
Essendant,http://fortune.com/fortune500/united-stationers-489/,Deerfield, IL,Wholesalers: Electronics and Office Equipment,489
Hanesbrands,http://fortune.com/fortune500/hanesbrands-490/,Winston-Salem, NC,Apparel,490
Kindred Healthcare,http://fortune.com/fortune500/kindred-healthcare-491/,Louisville, KY,Health Care: Medical Facilities,491
ARRIS Group,http://fortune.com/fortune500/arris-group-492/,Suwanee, GA,Network and Other Communications Equipment,492
Insight Enterprises,http://fortune.com/fortune500/insight-enterprises-493/,Tempe, AZ,Wholesalers: Electronics and Office Equipment,493
Alliance Data Systems,http://fortune.com/fortune500/alliance-data-systems-494/,Plano, TX,Financial Data Services,494
LifePoint Health,http://fortune.com/fortune500/lifepoint-health-495/,Brentwood, TN,Health Care: Medical Facilities,495
Pioneer Natural Resources,http://fortune.com/fortune500/pioneer-natural-resources-496/,Irving, TX,"Mining, Crude-Oil Production",496
Wyndham Worldwide,http://fortune.com/fortune500/wyndham-worldwide-497/,Parsippany, NJ,"Hotels, Casinos, Resorts",497
Owens Corning,http://fortune.com/fortune500/owens-corning-498/,Toledo, OH,"Building Materials, Glass",498
Alleghany,http://fortune.com/fortune500/alleghany-499/,New York, NY,Insurance: Property and Casualty (Stock),499
McGraw Hill Financial,http://fortune.com/fortune500/mcgraw-hill-financial-500/,New York, NY,Financial Data Services,500
Big Lots,http://fortune.com/fortune500/big-lots-501/,Columbus, OH,Specialty Retailers: Other,501
Northern Tier Energy,http://fortune.com/fortune500/northern-tier-energy-502/,Tempe, AZ,Petroleum Refining,502
Hexion,http://fortune.com/fortune500/hexion-503/,Columbus, OH,Chemicals,503
Markel,http://fortune.com/fortune500/markel-504/,Glen Allen, VA,Insurance: Property and Casualty (Stock),504
Noble Energy,http://fortune.com/fortune500/noble-energy-505/,Houston, TX,"Mining, Crude-Oil Production",505
Leidos Holdings,http://fortune.com/fortune500/leidos-holdings-506/,Reston, VA,Information Technology Services,506
Rockwell Collins,http://fortune.com/fortune500/rockwell-collins-507/,Cedar Rapids, IA,Aerospace and Defense,507
Airgas,http://fortune.com/fortune500/airgas-508/,Radnor, PA,Wholesalers: Diversified,508
Sprague Resources,http://fortune.com/fortune500/sprague-resources-509/,Portsmouth, NH,Wholesalers: Diversified,509
YRC Worldwide,http://fortune.com/fortune500/yrc-worldwide-510/,Overland Park, KS,"Trucking, Truck Leasing",510
Hanover Insurance Group,http://fortune.com/fortune500/hanover-insurance-group-511/,Worcester, MA,Insurance: Property and Casualty (Stock),511
Fiserv,http://fortune.com/fortune500/fiserv-512/,Brookfield, WI,Financial Data Services,512
Lorillard,http://fortune.com/fortune500/lorillard-513/,Greensboro, NC,Tobacco,513
American Tire Distributors Holdings,http://fortune.com/fortune500/american-tire-distributors-holdings-514/,Huntersville, NC,Wholesalers: Diversified,514
ABM Industries,http://fortune.com/fortune500/abm-industries-515/,New York, NY,Diversified Outsourcing Services,515
Sonoco Products,http://fortune.com/fortune500/sonoco-products-516/,Hartsville, SC,"Packaging, Containers",516
Harris,http://fortune.com/fortune500/harris-517/,Melbourne, FL,Network and Other Communications Equipment,517
Telephone & Data Systems,http://fortune.com/fortune500/telephone-data-systems-518/,Chicago, IL,Telecommunications,518
Wisconsin Energy,http://fortune.com/fortune500/wisconsin-energy-519/,Milwaukee, WI,Utilities: Gas and Electric,519
Linn Energy,http://fortune.com/fortune500/linn-energy-520/,Houston, TX,"Mining, Crude-Oil Production",520
Raymond James Financial,http://fortune.com/fortune500/raymond-james-financial-521/,St. Petersburg, FL,Securities,521
Berry Plastics Group,http://fortune.com/fortune500/berry-plastics-group-522/,Evansville, IN,"Packaging, Containers",522
Regency Energy Partners,http://fortune.com/fortune500/regency-energy-partners-523/,Dallas, TX,"Oil and Gas Equipment, Services",523
SCANA,http://fortune.com/fortune500/scana-523/,Cayce, SC,Utilities: Gas and Electric,523
Cincinnati Financial,http://fortune.com/fortune500/cincinnati-financial-525/,Fairfield, OH,Insurance: Property and Casualty (Stock),525
Atmos Energy,http://fortune.com/fortune500/atmos-energy-526/,Dallas, TX,Utilities: Gas and Electric,526
Pepco Holdings,http://fortune.com/fortune500/pepco-holdings-527/,Washington, DC,Utilities: Gas and Electric,527
Flowserve,http://fortune.com/fortune500/flowserve-528/,Irving, TX,Industrial Machinery,528
Simon Property Group,http://fortune.com/fortune500/simon-property-group-529/,Indianapolis, IN,Real estate,529
Constellation Brands,http://fortune.com/fortune500/constellation-brands-530/,Victor, NY,Beverages,530
Quad/Graphics,http://fortune.com/fortune500/quadgraphics-531/,Sussex, WI,"Publishing, Printing",531
Burlington Stores,http://fortune.com/fortune500/burlington-stores-532/,Burlington, NJ,Specialty Retailers: Apparel,532
Neiman Marcus Group,http://fortune.com/fortune500/neiman-marcus-group-533/,Dallas, TX,Specialty Retailers: Apparel,533
Bemis,http://fortune.com/fortune500/bemis-534/,Neenah, WI,"Packaging, Containers",534
Coach,http://fortune.com/fortune500/coach-535/,New York, NY,Apparel,535
Continental Resources,http://fortune.com/fortune500/continental-resources-536/,Oklahoma City, OK,"Mining, Crude-Oil Production",536
Ascena Retail Group,http://fortune.com/fortune500/ascena-retail-group-537/,Mahwah, NJ,Specialty Retailers: Apparel,537
